prompt_postfix,prompt_prefix,prompt_placement,prompt_length,device,latency_visual_width,latency_visual_length,latency_batch_size,timed_iters,warmup_iters,throughput_videos_per_s,latency_median_ms,latency_std_ms,latency_mean_ms,sweep_type,attn_window,prompt_template,fusion_auc,fusion_ap,alpha,experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
,,,,,,,,,,,,,,,,,,,,xd_ablation,,branches,,,0.9390886368875115,0.8030852904160202,0.9468126586913237,0.8450451936038323,37.011058221323545,30.820694031528657,23.382931312738712,17.92128132673955,14.34077216733271,24.695347411932637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9468126586913237,0.8450451936038323,0.0,xd_ablation,,fusion_alpha_0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9441389829700235,0.8332945660309857,0.25,xd_ablation,,fusion_alpha_0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9424416140034756,0.8245828037705439,0.5,xd_ablation,,fusion_alpha_0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9409486348815765,0.8160882463518362,0.75,xd_ablation,,fusion_alpha_0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.9390886368875115,0.8030852904160202,1.0,xd_ablation,,fusion_alpha_1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,baseline,,experiment\results\checkpoints\xd_adapter_baseline.pth,0.8956826029099154,0.7255024081422248,0.9145349397740521,0.7390754384321583,27.559162096406087,21.090900348467162,14.751883785434899,9.90679581974797,6.115895897750235,15.884927589561268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,global_tf,,experiment\results\checkpoints\xd_adapter_global_tf.pth,0.9198816046055935,0.7546441051877705,0.9215581748682348,0.7687595320707696,27.862496209603872,21.013328509992448,16.106805122590444,11.574366034697729,8.571731192405181,17.025745413857937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,local_tf,,experiment\results\checkpoints\xd_adapter_local_tf.pth,0.9274247918720759,0.7740117488344124,0.9307538419626699,0.7821145643349029,32.79942708972995,25.55562250868979,20.51390283505972,15.075664078097905,10.940996414806351,20.977122585276742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,only_gcn,,experiment\results\checkpoints\xd_adapter_only_gcn.pth,0.9339585635444032,0.7786518907648938,0.9338469190287374,0.7890393945755789,35.65256826731664,30.571688458486427,24.306967759117846,18.957283779321273,13.385024528403811,24.574706558529197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,local_global_tf,,experiment\results\checkpoints\xd_adapter_local_global_tf.pth,0.9313097191064141,0.7751406131888691,0.9266120795485849,0.7496000318904037,30.062549256945374,23.017674712696166,17.80621920247206,12.722426491895797,9.167856706674407,18.555345274136762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,global_tf_gcn,,experiment\results\checkpoints\xd_adapter_global_tf_gcn.pth,0.9436312514080685,0.8189975192730946,0.9425822617242937,0.8041005735264557,33.12682833692831,26.66200811407834,20.323032680717006,14.96041986279286,10.652114024457513,21.14488060379481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,xd_ablation,adapter_train,lgt_adapter,,experiment\results\checkpoints\xd_adapter_lgt_adapter.pth,0.9460087008412861,0.8351568627676758,0.9423424179539724,0.8318828144393204,35.48729374434688,29.203429781104656,22.015347109728015,16.9104789913952,11.941908158599993,23.11169155703495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,96.44874167813754,9.679344177246094,2.4105032525239483,10.368201622962951,,,,,,,xd_ablation,adapter_latency,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,130.29379530740454,7.474128007888794,0.831225184820286,7.6749625539779665,,,,,,,xd_ablation,adapter_latency,global_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,83.31545031459365,12.901904106140137,2.4911176958843346,12.002575707435607,,,,,,,xd_ablation,adapter_latency,local_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,73.27881705295384,14.618015766143799,2.5072646917781722,13.646508502960206,,,,,,,xd_ablation,adapter_latency,only_gcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,83.50800502297892,11.789760112762451,3.020432960584917,11.974899888038635,,,,,,,xd_ablation,adapter_latency,local_global_tf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,110.30987075925555,8.739888191223145,1.1605101219360423,9.06537187576294,,,,,,,xd_ablation,adapter_latency,global_tf_gcn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,cuda,512,256,1,100,10,107.85763343310639,8.637296199798584,1.4798267145153003,9.271481008529664,,,,,,,xd_ablation,adapter_latency,lgt_adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
