experiment,ablation_type,variant,seed,checkpoint,branch1_auc,branch1_ap,branch2_auc,branch2_ap,mAP@0.1,mAP@0.2,mAP@0.3,mAP@0.4,mAP@0.5,average_mAP,seed_count,seeds,branch1_auc_mean,branch1_auc_std,branch1_auc_variance,branch1_auc_ci95_low,branch1_auc_ci95_high,branch1_auc_ci95_half_width,branch1_ap_mean,branch1_ap_std,branch1_ap_variance,branch1_ap_ci95_low,branch1_ap_ci95_high,branch1_ap_ci95_half_width,branch2_auc_mean,branch2_auc_std,branch2_auc_variance,branch2_auc_ci95_low,branch2_auc_ci95_high,branch2_auc_ci95_half_width,branch2_ap_mean,branch2_ap_std,branch2_ap_variance,branch2_ap_ci95_low,branch2_ap_ci95_high,branch2_ap_ci95_half_width,mAP@0.1_mean,mAP@0.1_std,mAP@0.1_variance,mAP@0.1_ci95_low,mAP@0.1_ci95_high,mAP@0.1_ci95_half_width,mAP@0.2_mean,mAP@0.2_std,mAP@0.2_variance,mAP@0.2_ci95_low,mAP@0.2_ci95_high,mAP@0.2_ci95_half_width,mAP@0.3_mean,mAP@0.3_std,mAP@0.3_variance,mAP@0.3_ci95_low,mAP@0.3_ci95_high,mAP@0.3_ci95_half_width,mAP@0.4_mean,mAP@0.4_std,mAP@0.4_variance,mAP@0.4_ci95_low,mAP@0.4_ci95_high,mAP@0.4_ci95_half_width,mAP@0.5_mean,mAP@0.5_std,mAP@0.5_variance,mAP@0.5_ci95_low,mAP@0.5_ci95_high,mAP@0.5_ci95_half_width,average_mAP_mean,average_mAP_std,average_mAP_variance,average_mAP_ci95_low,average_mAP_ci95_high,average_mAP_ci95_half_width
xd_ablation,loss_train_summary,bce_nce,,,,,,,,,,,,,5,"234,235,236,237,238",0.9374919032330378,0.0016397604713122352,2.6888144032781235e-06,0.935456198096089,0.9395276083699865,0.002035705136948679,0.7990144486732149,0.006535103423689376,4.2707576758316605e-05,0.7909013468861905,0.8071275504602393,0.008113101787024455,0.9360620421215061,0.0038353669753040426,1.471003983525288e-05,0.9313005684853831,0.9408235157576291,0.0047614736361229525,0.7839002156330451,0.018398522292570527,0.0003385056225502147,0.761059095238627,0.8067413360274632,0.022841120394418143,35.42282798642265,0.797203788332333,0.6355338801314231,34.433127432289666,36.41252854055563,0.9897005541329811,27.871994815315553,0.4982302276690094,0.24823335976311292,27.253459455064277,28.49053017556683,0.6185353602512739,21.898584986429423,0.6058349446087704,0.36703598010911187,21.1464621425996,22.650707830259247,0.7521228438298247,16.60531144617519,0.7280304875832675,0.5300283908507303,15.701487119782884,17.509135772567493,0.9038243263923046,12.765761270231561,0.9466853074927384,0.8962130714226205,11.59048465071739,13.941037889745733,1.1752766195141708,22.912896100914875,0.5528098843262711,0.30559876820882526,22.226602010425903,23.599190191403846,0.6862940904889698
xd_ablation,loss,bce_cts,234,,0.9378700829085894,0.7978718969399164,0.13724571161609203,0.1348976598126296,6.368558547774969,3.74381496583628,1.919999869686597,0.9682759428411788,0.46505295572291816,2.693140456372389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_cts,235,,0.9387430540023253,0.806801927795246,0.6348093624305602,0.3161598056723971,3.988598233658943,2.1111946195420015,1.006459310465016,0.48221807961248375,0.19659632840325916,1.5570133143363405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_cts,236,,0.933505986956537,0.7816238649576055,0.1862777836926045,0.14090647011004512,2.7212342984844224,1.687676020655717,0.8697928591599741,0.4493966497335422,0.239394081725096,1.1934987819517504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_cts,237,,0.9394190058210992,0.8059958203125168,0.12095441891687311,0.13265799194906525,2.505310669826905,1.5276255198538728,0.7610923279248649,0.38270257684812475,0.1991541801692629,1.075177054924606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,bce_cts,238,,0.940037590901085,0.8064698426126755,0.1549352806049106,0.13736951825749555,2.194902494520378,1.303446542959855,0.7168630940973074,0.3843830311170628,0.20978242997203322,0.9618755185333271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss_train_summary,bce_cts,,,,,,,,,,,,,5,"234,235,236,237,238",0.9379151441179272,0.002592995976313585,6.7236281331784425e-06,0.9346960305209001,0.9411342577149543,0.0032191135970271226,0.799752670523592,0.010793287830472184,0.00011649506219141894,0.7863531820827744,0.8131521589644096,0.013399488440817581,0.2468445114522081,0.21822727438680467,0.04762314328629374,-0.024076998892540225,0.5177660217969564,0.2709215103447483,0.1723982891603265,0.08042342866326602,0.0064679278779554384,0.07255542203119093,0.2722411562894621,0.09984286712913558,3.5557208488531233,1.7139861938759378,2.9377486727973237,1.4278670796132076,5.683574618093039,2.1278537692399158,2.074751533769545,0.9786708531940818,0.957796638891632,0.8597659806449525,3.289737086894138,1.2149855531245926,1.054841492266752,0.49638715216327434,0.24640020483276567,0.43859424563966276,1.6710887388938411,0.6162472466270892,0.5333952560304784,0.24683446261598826,0.06092725193492371,0.22695892443552462,0.8398315876254323,0.3064363315949538,0.2619959951985139,0.11477743924311762,0.013173860559207558,0.11950382834804327,0.4044881620489845,0.14249216685047064,1.4961410252236826,0.7054707111379381,0.4976889242734682,0.6203238703674859,2.3719581800798792,0.8758171548561967
xd_ablation,loss,nce_cts,234,,0.9370429987753326,0.8240183727824079,0.9222302569695711,0.6782928230615202,38.24285769597798,30.298465788576845,23.84758232390768,18.266268362282077,14.449668255904452,25.02096848532981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,nce_cts,235,,0.4472087519139778,0.2199102314870167,0.93580793934394,0.7823667856468013,35.89932378426392,28.624271182852603,21.28137191476727,15.852118085426586,12.731211193645265,22.877659232191128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,nce_cts,236,,0.6277820726472871,0.5157752605993593,0.8999307522377229,0.5991651137750104,37.931141807402774,29.481164356033222,22.386209352113795,17.93104953592434,13.912262726806688,24.328365555656166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,nce_cts,237,,0.41849281626333634,0.20357757718130173,0.9230757737718285,0.711263981302743,36.12207833600993,29.428839099088755,23.758778107810823,17.69520754798961,14.09639592612743,24.22025980340531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xd_ablation,loss,nce_cts,238,,0.3535070385202989,0.18525351965902123,0.9274239418931645,0.7101760547447651,35.40367166108402,28.421971332995433,22.640409816327175,17.463117328761037,13.676949450023681,23.52122391783827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
